rank	headword	en	pos	group	nl
52	μέγας μεγάλη μέγα	big, great, powerful	adjective: 1st and 2nd declension	Measurements and Numerals	groot, machtig
53	οὐδέ	and not, but not, nor; οὐδέ...οὐδέ not even...nor yet	conjunction: coordinating	Conjunctions/Adverbs	en niet, ook niet; zelfs niet
54	ἐκεῖνος ἐκείνη ἐκεῖνο	that person or thing; ἐκεῖνος…οὗτος the former…the latter	pronoun	Pronouns/Interrogatives	die, dat, gene
55	τοιοῦτος τοιαύτη τοιοῦτο	such, of such a sort	adjective: 1st and 2nd declension	Pronouns/Interrogatives	zulk(e), zodanig
56	οὐδείς οὐδεμία οὐδέν	no one, nothing	pronoun	Pronouns/Interrogatives	niemand, niets
57	εἶπον	I said, I spoke, 2 aor. → λέγω, φημί	verb: irregular	Writing and Talking	ik zei, ik sprak
58	ἀγαθός ἀγαθή ἀγαθόν	good, virtuous, brave, noble	adjective: 1st and 2nd declension	Ethics and Morals	goed, dapper, edel
59	γε	(enclitic) indeed; at least, at any rate	adverb	Particles	toch, tenminste, zeker
60	δή	surely, really, now, in fact, indeed (gives greater exactness)	adverb	Particles	nu, dus, werkelijk, immers
61	πόλις πόλεως, ἡ	city, city-state	noun: 3rd declension ι-stem	Government and Society	stad, stadstaat
62	εἷς μία ἕν	one	adjective: numeral	Measurements and Numerals	één
63	ἵημι, ἥσω, ἧκα, -εἷκα, εἷμαι, -εἵθην	put in motion, let go, shoot; (mid.) hasten, rush	verb: -μι	Work and Leisure	zenden, werpen, laten gaan; (med.) zich haasten
64	δέω, δεήσω, ἐδέησα, δεδέηκα, δεδέημαι, ἐδεήθην	lack, miss, stand in need of (+gen.)	verb: contracted	Taking and Giving	nodig hebben, missen (+ gen.)
65	ἄνθρωπος –ου, ὁ/ἡ	human being	noun: 2nd declension	Humanity and Being	mens
66	ὁράω, ὄψομαι, 2 aor. εἶδον, ἑόρακα and ἑώρακα, ὤφθην, impf. ἑώρων	see, look (to)	verb: irregular	The Senses and Feelings	zien, kijken
67	μόνος μόνη μόνον	alone, single	adjective: 1st and 2nd declension	Measurements and Numerals	alleen, enig
68	οὔτε...οὔτε	neither...nor	conjunction: coordinating	Conjunctions/Adverbs	noch ... noch
69	οἷος οἵα οἷον	such as, of what sort, like, (exclam.) what a!, how! ; οἷός τε (+infin.) fit or able to; οἷόν τε (+infin.) it is possible to	adjective: 1st and 2nd declension	Pronouns/Interrogatives	zoals, van welke aard; οἷός τε: in staat om
70	λαμβάνω, λήψομαι, ἔλαβον, εἴληφα, εἴλημμαι, ἐλήφθην	take, grasp, seize; receive, get	verb: -ω labial stem	Taking and Giving	nemen, grijpen; ontvangen, krijgen
71	δοκέω, δόξω, ἔδοξα	think, suppose, imagine (+acc. and infin.); seem, seem good; (impers.) δοκεῖ μοι it seems to me	verb: contracted	The Mind, Perceiving and Learning	menen, denken; lijken; δοκεῖ μοι: het lijkt me goed
72	ἕτερος ἑτέρα ἕτερον	the other (of two); other, another	adjective: 1st and 2nd declension	Pronouns/Interrogatives	de andere (van twee), ander
73	κακός –ή –όν	bad, wicked, cowardly	adjective: 1st and 2nd declension	Characteristics	slecht, laf
74	ἀνήρ ἀνδρός, ὁ	man, husband	noun: 3rd declension irregular	Humanity and Being	man, echtgenoot
75	ἐπεί	after, since, when	conjunction: subordinating	Time	nadat, toen; aangezien
76	ὅσος ὅση ὅσον	however much; as great as; (in pl.) as many as; ὅσον (adv.) as much as	adjective: 1st and 2nd declension	Pronouns/Interrogatives	zo groot als, hoeveel; zoveel als
77	καλέω, καλῶ, ἐκάλεσα, κέκληκα, κέκλημαι, ἐκλήθην	call, summon	verb: contracted	Writing and Talking	roepen, noemen
78	σῶμα σώματος, τό	body	noun: 3rd declension consonant stem	Body Parts	lichaam
79	δεῖ, δεήσει, impf. ἔδει	it is necessary, one must, one ought (+acc. and infin.)	verb: impersonal	Ethics and Morals	het is nodig, men moet (+ acc. + inf.)
80	ὥσπερ	just as, as if	conjunction: subordinating	Conjunctions/Adverbs	zoals, als het ware
81	δίδωμι, δώσω, ἔδωκα, δέδωκα, δέδομαι, ἐδόθην	give, grant, offer	verb: -μι	Taking and Giving	geven, schenken
82	ἔτι	still, yet	adverb	Time	nog, nog steeds
83	φύσις φύσεως, ἡ	nature; (of the mind) one’s nature or disposition; regular order of nature	noun: 3rd declension ι-stem	World Order	natuur, aard
84	μικρός –ά –όν	small, little, short	adjective: 1st and 2nd declension	Measurements and Numerals	klein, kort
85	δύναμαι, δυνήσομαι, ἐδυνήθην, δεδύνημαι	(+infin.) to be able (to), be strong enough (to)	verb: deponent	Work and Leisure	kunnen, in staat zijn
86	ὥστε	(introducing natural or actual result clause) so as, so that, (with the result) that	conjunction: subordinating	Conjunctions/Adverbs	zodat, zo dat
87	ἀρχή ἀρχῆς, ἡ	beginning, origin; rule, empire, realm; magistracy	noun: 1st declension	Time	begin, oorsprong; heerschappij, gezag; ambt
88	ἕκαστος ἑκάστη ἕκαστον	each (of several)	pronoun	Pronouns/Interrogatives	ieder, elk
89	ἡμέρα ἡμέρας, ἡ	day	noun: 1st declension	World Order	dag
90	φύω, φύσω, ἔφυσα	bring forth, produce, beget; 2 aor. ἔφυν grew, pf. πέφυκα be by nature	verb: -ω vowel stem	World Order	voortbrengen; ἔφυν: ontstaan; πέφυκα: van nature zijn
91	ἅπας ἅπασα ἅπαν	all together	noun: 3rd declension irregular	Measurements and Numerals	allen samen, geheel
92	ὅμοιος ὁμοία ὅμοιον	like, resembling (+dat.)	adjective: 1st and 2nd declension	Characteristics	gelijk, gelijkend op (+ dat.)
93	νῦν, νυνί	now	adverb	Time	nu
94	γῆ γῆς, ἡ	earth	noun: 1st declension	Earth	aarde, land
95	δύναμις δυνάμεως, ἡ	power, strength, ability	noun: 3rd declension ι-stem	War and Peace	kracht, macht, vermogen
96	καλός –ή –όν	beautiful, noble, honorable	adjective: 1st and 2nd declension	Characteristics	mooi, edel, eervol
97	κύριος κυρίου, ὁ	lord, master	noun: 2nd declension	Government and Society	heer, meester
98	μᾶλλον	more, rather; μᾶλλον...ἤ rather than	adverb	Conjunctions/Adverbs	meer, eerder; μᾶλλον ... ἤ: eerder ... dan
99	ὅδε ἥδε τόδε	this	pronoun	Pronouns/Interrogatives	deze, dit (hier)
100	ὅλος ὅλη ὅλον	whole, entire, complete	adjective: 1st and 2nd declension	Measurements and Numerals	geheel, volledig
101	μέρος μέρους, τό	part, share	noun: 3rd declension σ-stem	Measurements and Numerals	deel, aandeel
102	ἄρα	therefore, then (drawing an inference)	adverb	Particles	dus, dan
103	ἐμός ἐμή ἐμόν	my, mine	adjective: 1st and 2nd declension	Pronouns/Interrogatives	mijn
104	χράομαι, χρήσομαι, ἐχρησάμην, κέχρημαι, ἐχρήσθην	use, experience, suffer (+dat.); treat someone in a certain way (+dat. and adv.)	verb: deponent	Government and Society	gebruiken, omgaan met (+ dat.)
105	δύο	two	adjective: numeral	Measurements and Numerals	twee
106	χρόνος χρόνου, ὁ	time	noun: 2nd declension	Time	tijd
107	ἴσος ἴση ἴσον	equal, the same as (+dat.)	adjective: 1st and 2nd declension	Measurements and Numerals	gelijk (aan) (+ dat.)
108	ὅταν (ὅτε-ἄν)	whenever (+subj.)	conjunction: subordinating	Conjunctions/Adverbs	telkens wanneer (+ conj.)
109	μόνον	only	adverb	Conjunctions/Adverbs	alleen, slechts
110	οἶδα, infin. εἰδέναι, imper. ἴσθι, plupf. used as impf. ᾔδειν	to know (pf. in pres. sense); to know how to (+infin.)	verb: irregular	The Mind, Perceiving and Learning	weten; kunnen (+ inf.)
111	βασιλεύς βασιλέως, ὁ	king	noun: 3rd declension -εύς, -έως	Government and Society	koning
112	ὦ	oh! (unemphatic when with the vocative)	interjection	Particles	o! (bij vocatief)
113	βούλομαι, βουλήσομαι, βεβούλημαι, ἐβουλήθην	(+infin.) will, wish (to); be willing (to); ὁ βουλόμενος anyone who likes	verb: deponent	The Senses and Feelings	willen, wensen
114	φαίνω, φανῶ, ἔφηνα, πέφηνα, πέφασμαι, ἐφάνην	bring to light, make appear, make clear; (pass.) come to light, be seen, appear, appear to be (+ptc. or infin.)	verb: -ω liquid stem	Showing and Finding	tonen, doen verschijnen; (pass.) verschijnen, blijken
115	γράφω, γράψω, ἔγραψα, γέγραφα, γέγραμμαι, ἐγράφην	write	verb: -ω labial stem	Writing and Talking	schrijven
116	φέρω, οἴσω, 1 aor. ἤνεγκα, 2 aor. ἤνεγκον, ἐνήνοχα, ἐνήνεγμαι, ἠνέχθην	carry, bring, fetch; carry off or away; φέρε come now, well	verb: irregular	Work and Leisure	dragen, brengen; wegvoeren; φέρε: kom!
117	ψυχή ψυχῆς, ἡ	breath, life, soul	noun: 1st declension	Humanity and Being	ziel, leven, adem
118	μηδείς μηδεμία μηδέν	no one, nothing	pronoun	Pronouns/Interrogatives	niemand, niets
119	αἴτιος αἰτία αἴτιον	responsible, guilty	adjective: 1st and 2nd declension	Law and Judgment	verantwoordelijk, schuldig
120	πάλιν	back, backwards; again	adverb	Direction	terug; opnieuw
121	μάλιστα	most, most of all; (in replies) certainly	adverb	Conjunctions/Adverbs	het meest, vooral; zeker
122	ὑπάρχω, ὑπάρξω, ὑπῆρξα, ὑπῆργμαι, ὑπήρχθην	exist, be, belong to; τὰ ὑπάρχοντα existing circumstances	verb: -ω palatal stem	Humanity and Being	bestaan, er zijn, toebehoren
123	ἄρχω, ἄρξω, ἦρξα, ἦργμαι, ἤρχθην	begin (+gen.); lead, rule, govern (+gen.)	verb: -ω palatal stem	Time	beginnen; heersen over, leiden (+ gen.)
124	γυνή γυναικός, ἡ	woman, wife	noun: 3rd declension irregular	Humanity and Being	vrouw, echtgenote
125	ποτε (enclitic)	at some time, ever, in the world	adverb	Time	ooit, eens
126	ἵνα	in order that (conj. +subj. or opt.); where (rel. adv. +indic.)	conjunction: subordinating	Conjunctions/Adverbs	opdat (+ conj./opt.); waar
127	ὄνομα ὀνόματος, τό	name; fame	noun: 3rd declension consonant stem	Writing and Talking	naam; roem
128	ὑπέρ	for (+gen), beyond (+acc.)	preposition	Prepositions without Direction	voor, ten behoeve van (+ gen.); boven, voorbij (+ acc.)
129	ἤδη	already, now (of the immediate past); presently (of the immediate future)	adverb	Time	al, reeds, nu; weldra
130	πατήρ πατρός, ὁ	father	noun: 3rd declension irregular	Family and Friendship and the Home	vader
131	ἀκούω, ἀκούσομαι, ἤκουσα, ἀκήκοα, plup. ἠκηκόη or ἀκηκόη, ἠκούσθην	listen (to), hear (of)	verb: -ω vowel stem	The Senses and Feelings	horen, luisteren (naar)
132	γένος γένους, τό	race, family; kind, class	noun: 3rd declension σ-stem	Family and Friendship and the Home	geslacht, familie; soort
133	τόπος τόπου, ὁ	place; topic	noun: 2nd declension	Earth	plaats; onderwerp
134	πράσσω, πράξω, ἔπραξα, πέπραχα, πέπραγμαι, ἐπράχθην	do, achieve, accomplish; do or fare in a certain way (+adv.)	verb: -ω dental stem	Work and Leisure	doen, uitvoeren; het ... stellen (+ adv.)
135	πρῶτος πρώτη πρῶτον	first, foremost, earliest; (adv.) τὸ πρῶτον in the first place	adjective: 1st and 2nd declension	Measurements and Numerals	eerste; τὸ πρῶτον: eerst
136	εὑρίσκω, εὑρήσω, 2 aor. ηὗρον or εὗρον, ηὕρηκα or εὕρηκα, εὕρημαι, εὑρέθην	find (out), discover, devise	verb: -ω palatal stem	Showing and Finding	vinden, ontdekken, uitvinden
137	παῖς παιδός, ὁ/ἡ	son, daughter, child; slave	noun: 3rd declension consonant stem	Family and Friendship and the Home	kind, zoon, dochter; slaaf
138	ἔρχομαι, fut. εἶμι or ἐλεύσομαι, 2 aor. ἦλθον, ἐλήλυθα	come, go	verb: deponent	Movement	komen, gaan
139	υἱός υἱοῦ, ὁ	son	noun: 2nd declension	Family and Friendship and the Home	zoon
140	ὕδωρ ὕδατος, τό	water	noun: 3rd declension consonant stem	World Order	water
141	ἴδιος ἰδία ἴδιον	one’s own; peculiar, separate, distinct	adjective: 1st and 2nd declension	Pronouns/Interrogatives	eigen; afzonderlijk, bijzonder
142	σός σή σόν	your, yours (sg.; ὑμέτερος = pl.)	adjective: 1st and 2nd declension	Pronouns/Interrogatives	jouw
143	γιγνώσκω, γνώσομαι, ἔγνων, ἔγνωκα, ἔγνωσμαι, ἐγνώσθην	come to know, learn; judge, think, or determine that (+acc. and infin.)	verb: irregular	The Mind, Perceiving and Learning	leren kennen, inzien; oordelen
144	τυγχάνω, τεύξομαι, ἔτυχον, τετύχηκα, τέτυγμαι, ἐτύχθην	hit, light upon, meet by chance (+gen.); reach, gain, obtain; happen to be (+ptc.)	verb: -ω palatal stem	Humanity and Being	treffen, verkrijgen (+ gen.); toevallig zijn (+ ptc.)
145	ἵστημι στήσω will set, ἔστησα set, caused to stand, 2 aor. ἔστην stood, ἕστηκα stand, plup. εἱστήκη stood, ἐστάθην stood	make to stand, set	verb: -μι	Work and Leisure	doen staan, plaatsen; ἔστην: ging staan; ἕστηκα: sta
146	ἅμα	at the same time; (prep.) together with (+dat.)	adverb	Time	tegelijk; samen met (+ dat.)
147	ἄγω, ἄξω, ἤγαγον, ἦχα, ἦγμαι, ἤχθην	lead, carry, bring; pass (time)	verb: -ω palatal stem	Movement	leiden, voeren, brengen; doorbrengen (tijd)
148	τρόπος τρόπου, ὁ	way, manner, fashion; way of life, habit, custom	noun: 2nd declension	Characteristics	manier, wijze; levenswijze, karakter
149	μήτε...μήτε	neither...nor	conjunction: coordinating	Conjunctions/Adverbs	noch ... noch
150	μέσος μέση μέσον	middle, in the middle, moderate; τὸ μέσον midst	adjective: 1st and 2nd declension	Measurements and Numerals	middelste, midden; gematigd
151	ἀλλήλων –οις	(oblique cases plural only) one another, each other	pronoun	Pronouns/Interrogatives	elkaar
152	ἀεί	always	adverb	Time	altijd
153	φίλος φίλη φίλον	beloved, dear; friendly	adjective: 1st and 2nd declension	Family and Friendship and the Home	dierbaar, bevriend; vriend
154	συμβαίνω, συμβήσομαι, 2 aor. συνέβην, συμβέβηκα	meet, come to an agreement, correspond; happen, occur, come to pass; turn out in a certain way (+adv.), result	verb: -ω liquid stem	Family and Friendship and the Home	gebeuren, voorvallen; overeenkomen; uitvallen
155	ἔργον ἔργου, τό	work, achievement, exploit	noun: 2nd declension	Work and Leisure	werk, daad
156	πλέω, πλεύσομαι, ἔπλευσα, πέπλευκα, πέπλευσμαι, ἐπλεύσθην	sail	verb: contracted	Government and Society	varen
157	τότε	then, at that time; οἱ τότε the men of that time (opp. οἱ νῦν)	adverb	Time	toen, destijds
158	μήν	[emphasizes preceding particle]	adverb	Particles	zeker, waarlijk (versterkt voorgaand partikel)
159	χρή, impf. χρῆν or ἐχρῆν, infin. χρῆναι	it is necessary, it is fated, one ought (+infin. or +acc. and infin.)	verb: impersonal	Ethics and Morals	het is nodig, men moet
160	δείκνυμι, δείξω, ἔδειξα, δέδειχα, δέδειγμαι, ἐδείχθην	show, point out	verb: -μι	Showing and Finding	tonen, aanwijzen
161	ζῷον ζῴου, τό	living being, animal	noun: 2nd declension	Animals and Plants	levend wezen, dier
162	πρᾶγμα πράγματος, τό	thing; (pl.) circumstances, affairs, business	noun: 3rd declension consonant stem	Work and Leisure	zaak, ding; πράγματα: omstandigheden, zaken
163	ἐναντίος ἐναντία ἐναντίον	opposite, facing; opposing	adjective: 1st and 2nd declension	Direction	tegenovergesteld, tegenover; vijandig
164	τίθημι, θήσω, ἔθηκα, τέθηκα, τέθειμαι (but usu. κεῖμαι instead), ἐτέθην	to put, place; establish, ordain, institute; put in a certain state	verb: -μι	Work and Leisure	plaatsen, zetten; instellen, vaststellen
165	εἶδον, 2 aor. of ὁράω, act. infin. ἰδεῖν, mid.infin. ἰδέσθαι	I saw	verb: irregular	The Senses and Feelings	ik zag
166	χείρ χειρός, ἡ	hand	noun: 3rd declension consonant stem	Body Parts	hand
167	μηδέ	and not	conjunction: coordinating	Conjunctions/Adverbs	en niet, ook niet
168	ὀλίγος ὀλίγη ὀλίγον	little, small, few	adjective: 1st and 2nd declension	Measurements and Numerals	weinig, klein; ὀλίγοι: weinigen
169	νόμος νόμου, ὁ	custom, tradition, law	noun: 2nd declension	Law and Judgment	gewoonte, wet
170	κοινός –ή –όν	common, shared, mutual	adjective: 1st and 2nd declension	Government and Society	gemeenschappelijk, gemeen
171	οἴομαι or οἶμαι, οἰήσομαι, impf. ᾤμην, aor. ᾠήθην	think, suppose, imagine (+acc. and infin.)	verb: deponent	The Mind, Perceiving and Learning	menen, denken
172	κινέω, κινήσω, ἐκίνησα, κεκίνηκα, κεκίνημαι, ἐκινήθην	set in motion, move, rouse	verb: contracted	Movement	bewegen, in beweging brengen
173	πάσχω, πείσομαι, ἔπαθον, πέπονθα	suffer, experience, be affected in a certain way (+adv.)	verb: -ω dental stem	Life and Death	lijden, ondergaan, ervaren
174	πῶς	how?	adverb	Pronouns/Interrogatives	hoe?
175	ὅσπερ ἥπερ ὅπερ	the very one who, the very thing which	pronoun	Pronouns/Interrogatives	juist die, juist wat
176	τοσοῦτος –αύτη –οῦτο(ν)	so large, so much	adjective: 1st and 2nd declension	Measurements and Numerals	zo groot, zoveel
177	σύν	with (+ dat. of accompaniment or means)	preposition	Prepositions without Direction	met (+ dat.)
178	εἶτα	then, next	adverb	Conjunctions/Adverbs	daarna, vervolgens
179	ἀληθής –ές	true	adjective: 3rd declension -ης, -ες	Ethics and Morals	waar
180	δίκαιος δικαία δίκαιον	right, just	adjective: 1st and 2nd declension	Law and Judgment	rechtvaardig, juist
181	μέλλω, μελλήσω, ἐμέλλησα	(+infin.) think of doing, intend to, be about to	verb: -ω liquid stem	The Senses and Feelings	van plan zijn, op het punt staan (+ inf.)
182	ἐθέλω, ἐθελήσω, ἠθέλησα, ἠθέληκα	(+infin.) wish (to); be willing (to)	verb: -ω liquid stem	The Senses and Feelings	willen, bereid zijn
183	λοιπός –ή –όν	rest, remaining, rest-of-the	adjective: 1st and 2nd declension	Measurements and Numerals	overig, overblijvend
184	ἀνάγκη ἀνάγκης, ἡ	necessity	noun: 1st declension	World Order	noodzaak, dwang
185	ὅτε	when, whenever (+indic. or opt.)	conjunction: subordinating	Time	toen, wanneer
186	δεύτερος –α –ον	second	adjective: numeral	Measurements and Numerals	tweede
187	πόλεμος πολέμου ὁ	war	noun: 2nd declension	War and Peace	oorlog
188	χώρα χώρας, ἡ	land; place	noun: 1st declension	Earth	land, gebied; plaats
189	ζάω, ζήσω, ἔζησα, ἔζηκα	live	verb: contracted	Life and Death	leven
190	πλῆθος πλήθους, τό	mass, throng, crowd; number	noun: 3rd declension σ-stem	Government and Society	menigte, massa; aantal
191	ἥλιος ἡλίου, ὁ	sun	noun: 2nd declension	World Order	zon
192	αἰτία αἰτίας, ἡ	cause, origin; charge, accusation	noun: 1st declension	Law and Judgment	oorzaak, reden; beschuldiging
193	πείθω, πείσω, ἔπεισα, πέποιθα, πέπεισμαι, ἐπείσθην	persuade, win over; (mid. and pass.) obey, believe in, trust in (+dat.)	verb: -ω dental stem	Writing and Talking	overtuigen; (med./pass.) gehoorzamen, geloven (+ dat.)
194	πάρειμι	be present, be ready or at hand; (impers.) πάρεστί μοι it depends on me, it is in my power; τὰ παρόντα the present circumstances; τὸ παρόν just now	verb: irregular	Humanity and Being	aanwezig zijn; τὰ παρόντα: de huidige omstandigheden
195	πλεῖστος πλείστη πλεῖστον	most, greatest, largest (superl. of πολύς)	adjective: 1st and 2nd declension	Measurements and Numerals	meest, grootst
196	εἶδος εἴδους, τό	form, shape, figure; class, kind, sort	noun: 3rd declension σ-stem	Measurements and Numerals	vorm, gedaante; soort
197	ὅπως	how, as; so that, in order that (+subj. or opt.)	conjunction: subordinating	Conjunctions/Adverbs	hoe; opdat (+ conj./opt.)
198	τρεῖς τρία	three	adjective: numeral	Measurements and Numerals	drie
199	βίος βίου, ὁ	life	noun: 2nd declension	Life and Death	leven, levenswijze
200	νομίζω, νομιῶ, ἐνόμισα, νενόμικα, νενόμισμαι, ἐνομίσθην	think, believe that (+acc. and infin.); hold as a custom, be accustomed to (+infin.)	verb: -ω dental stem	The Mind, Perceiving and Learning	menen, geloven; gewoon zijn
201	κύκλος κύκλου, ὁ	circle, ring, orb, disc, circular motion	noun: 2nd declension	Measurements and Numerals	cirkel, kring
202	πάθος πάθους, τό	incident, accident, misfortune, experience; passion, emotion; state, condition	noun: 3rd declension σ-stem	The Senses and Feelings	ervaring, lijden, ongeluk; gevoel, hartstocht
203	πρό	before, in front of (+gen.)	preposition	Time	voor (+ gen.)
204	ὀνομάζω, ὀνομάσω, ὠνόμασα, ὠνόμακα, ὠνόμασμαι, ὠνομάσθην	call by name	verb: -ω dental stem	Writing and Talking	noemen, bij naam noemen
205	μέντοι	however; of course	adverb	Particles	echter, evenwel; natuurlijk
206	ἀρετή ἀρετῆς, ἡ	goodness, excellence; virtue; valor, bravery	noun: 1st declension	Ethics and Morals	deugd, voortreffelijkheid; dapperheid
