rank	headword	en	pos	group	nl
113	quaerō -rere -sīvī -sītum	seek, inquire	Verb: 3rd Conjugation -ō	Education/Knowledge	zoeken, vragen
114	mittō mittere mīsī missum	send, let go	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	zenden, sturen, laten gaan
115	vīs f.	force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength	Noun: 3rd Declension	War and Peace	kracht, geweld; vires: krachten
116	amor -ōris m.	love	Noun: 3rd Declension	Love	liefde
117	caelum -ī n.	sky, heavens	Noun: 2nd Declension	Air and Fire	hemel
118	sub	under, close to (+acc. or abl.)	Preposition	Place	onder, vlak bij (+ acc. of abl.)
119	nox noctis f.	night	Noun: 3rd Declension	Lengths of Time	nacht
120	ita	thus, so	Adverb	Conjunctions/Adverbs	zo, aldus
121	rēgnum -ī n.	kingship, kingdom	Noun: 2nd Declension	Geography	koningschap, koninkrijk
122	populus -ī m.	people	Noun: 2nd Declension	The City	volk
123	autem	moreover, but, however	Conjunction	Conjunctions/Adverbs	echter, maar
124	caput capitis n.	head	Noun: 3rd Declension	The Body	hoofd
125	mare -is n.	sea	Noun: 3rd Declension	Earth and Water	zee
126	quīdam quaedam quoddam	a certain one, someone	Pronoun	Pronouns/Interrogatives	een zeker(e), iemand
127	māter mātris f.	mother	Noun: 3rd Declension	The Household	moeder
128	prō	for, on behalf of, in proportion to (+abl.)	Preposition	Non-Directional Prepositions	voor, ten gunste van, in plaats van (+ abl.)
129	quisquis quidquid	whoever, whichever	Pronoun	Pronouns/Interrogatives	al wie, al wat, wie ook
130	vōs	you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	jullie
131	capiō capere cēpī captum	seize	Verb: 3rd Conjugation -iō	War and Peace	nemen, grijpen, veroveren
132	quia	because	Conjunction	Conjunctions/Adverbs	omdat
133	dūcō dūcere dūxī ductum	lead; uxōrem dūcere, marry	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	leiden; uxorem ducere: trouwen
134	ergō	therefore	Conjunction	Conjunctions/Adverbs	dus, daarom
135	nōmen -inis n.	name	Noun: 3rd Declension	Social Life	naam
136	quidem	certainly, at least	Adverb	Conjunctions/Adverbs	wel, zeker, tenminste
137	miser misera miserum	wretched, pitiable	Adjective: 1st and 2nd Declension	Emotions	ongelukkig, rampzalig
138	fortūna -ae f.	fortune	Noun: 1st Declension	Religion	lot, fortuin, geluk
139	novus -a -um	new	Adjective: 1st and 2nd Declension	Time	nieuw
140	gravis -e	heavy, serious	Adjective: 3rd Declension	Measurement	zwaar, ernstig
141	vel	or else, or; even; vel ... vel: either … or	Conjunction	Conjunctions/Adverbs	of; zelfs; vel ... vel: ofwel ... ofwel
142	longus -a -um	long, far	Adjective: 1st and 2nd Declension	Measurement	lang
143	parvus -a -um	small	Adjective: 1st and 2nd Declension	Measurement	klein
144	relinquō -linquere -līquī -lictum	abandon	Verb: 3rd Conjugation -ō	Motion	achterlaten, verlaten
145	saepe	often	Adverb	Time	dikwijls, vaak
146	fīō fierī factus sum	become, happen, be done	Verb: Irregular	Life and Being	worden, gebeuren, gemaakt worden
147	ōs ōris n.	mouth, face	Noun: 3rd Declension	The Body	mond, gezicht
148	alter altera alterum	other of two	Adjective: 1st and 2nd Declension	Measurement	de ene, de andere (van twee)
149	semper	always, ever	Adverb	Time	altijd
150	deinde/dein	then, next	Adverb	Time	daarna, vervolgens
151	ignis -is m.	fire	Noun: 3rd Declension	Air and Fire	vuur
152	modo	just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes	Adverb	Time	slechts, pas, net; modo ... modo: nu eens ... dan weer
153	timeō -ēre -uī	to fear, to dread	Verb: 2nd Conjugation	Emotions	vrezen
154	scelus -eris n.	crime, sin	Noun: 3rd Declension	Justice	misdaad
155	dēbeō dēbēre dēbuī dēbitum	owe, be obliged	Verb: 2nd Conjugation	Business/Money	moeten; schuldig zijn
156	vīvō vīvere vīxī vīctum	live	Verb: 3rd Conjugation -ō	Life and Being	leven
157	fātum -ī n.	fate; death	Noun: 2nd Declension	Religion	lot, noodlot; dood
158	vocō -āre	call	Verb: 1st Conjugation	Speech/Oratory	roepen, noemen
159	altus -a -um	high, lofty; deep	Adjective: 1st and 2nd Declension	Geography	hoog; diep
160	parō -āre	prepare, acquire; parātus -a -um, ready	Verb: 1st Conjugation	Making/Doing	voorbereiden, klaarmaken; paratus: bereid
161	mīles -itis m.	soldier	Noun: 3rd Declension	War and Peace	soldaat
162	medius -a -um	middle, central	Adjective: 1st and 2nd Declension	Place	middelste, midden
163	inquam, inquis, inquit, inquiunt:	say (used with direct speech)	Verb: Irregular	Speech/Oratory	zeggen (bij directe rede)
164	post	after (adv. and prep. +acc.)	Preposition	Time	na (+ acc.); later, daarna
165	audiō -īre -īvī/-iī -ītum	hear, listen to	Verb: 4th Conjugation	Other Senses	horen, luisteren
166	putō -āre	think, suppose	Verb: 1st Conjugation	Education/Knowledge	denken, menen
167	annus -ī m.	year	Noun: 2nd Declension	Lengths of Time	jaar
168	stō stāre stetī statum	stand	Verb: 1st Conjugation	Life and Being	staan
169	vōx vōcis f.	voice, utterance	Noun: 3rd Declension	Speech/Oratory	stem; woord
170	genus generis n.	origin, lineage, kind	Noun: 3rd Declension	The Household	geslacht, afkomst, soort
171	referō referre rettulī relātum	bring back; report	Verb: Irregular	Verbs of Transport	terugbrengen; berichten, melden
172	sciō -īre -īvī/-iī -ītum	know	Verb: 4th Conjugation	Education/Knowledge	weten
173	mēns mentis f.	mind	Noun: 3rd Declension	The Body	geest, verstand
174	reddō -dere -didī -ditum	return, give back	Verb: 3rd Conjugation -ō	Verbs of Transport	teruggeven
175	licet licēre licuit licitum est	it is permitted (+ dat. + infin.)	Verb: Impersonal	Justice	het is toegestaan, men mag
176	sōlus -a -um	only, alone	Adjective: 1st and 2nd Declension	Measurement	alleen, enig
177	fugiō fugere fūgī fugitum	flee, escape	Verb: 3rd Conjugation -iō	Travel	vluchten, ontvluchten
178	ūllus -a -um	any, anyone	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	enig, (wel) een
179	nēmō	no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)	Pronoun	Pronouns/Interrogatives	niemand
180	nātūra -ae f.	nature	Noun: 1st Declension	Life and Being	natuur
181	mōs mōris m.	custom, habit; (pl.) character	Noun: 3rd Declension	Social Life	gewoonte, zede; mores: karakter
182	beneficium -ī n.	service, kindness	Noun: 2nd Declension	Social Life	weldaad, gunst
183	pectus -oris n.	chest, breast	Noun: 3rd Declension	The Body	borst, hart
184	fidēs -eī f.	trust, faith	Noun: 5th Declension	Personality Traits/Characteristics	trouw, vertrouwen, geloof
185	patior patī passus sum	permit, endure	Verb: Deponent	Verbs of Compelling/Directing	verdragen, ondergaan, toelaten
186	cūra -ae f.	care, concern	Noun: 1st Declension	Love	zorg, bezorgdheid
187	īra irae f.	wrath, anger	Noun: 1st Declension	Emotions	woede, toorn
188	verbum -ī n.	word	Noun: 2nd Declension	Writing/Poetry	woord
189	prope	near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost	Preposition	Place	dichtbij, nabij (+ acc.); bijna
190	parēns -ntis m./f.	parent	Noun: 3rd Declension	The Household	ouder
191	puer puerī m.	boy; slave	Noun: 2nd Declension	People	jongen, kind; slaaf
192	moveō -ēre mōvī mōtum	move	Verb: 2nd Conjugation	Motion	bewegen
193	dolor -ōris m.	pain, grief	Noun: 3rd Declension	Emotions	pijn, verdriet
194	gēns gentis f.	family, clan	Noun: 3rd Declension	The Household	geslacht, stam, volk
195	modus -ī m.	measure, manner, kind	Noun: 2nd Declension	Measurement	maat, wijze, manier
196	via -ae f.	way, street	Noun: 1st Declension	Travel	weg, straat
197	quisque quaeque quidque	each one, everyone	Pronoun	Pronouns/Interrogatives	ieder, elk
198	amīcus -a -um	friendly; (as subst.) friend	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	bevriend; vriend
199	pēs pedis m.	foot	Noun: 3rd Declension	The Body	voet
200	imperium -ī n.	command, power	Noun: 2nd Declension	War and Peace	bevel, macht, gezag; rijk
201	labor -ōris m.	toil, exertion	Noun: 3rd Declension	Business/Money	arbeid, inspanning
202	ingēns ingentis	huge, enormous	Adjective: 3rd Declension	Measurement	zeer groot, enorm
203	tālis tāle	such	Adjective: 3rd Declension	Measurement	zulk(e), zo'n
204	parum	too little	Adverb	Measurement	te weinig
205	apud	near, in the presence of (+acc.)	Preposition	Place	bij, in het bijzijn van (+ acc.)
206	oculus -ī m.	eye	Noun: 2nd Declension	The Body	oog
207	unda -ae f.	wave, flowing water, water	Noun: 1st Declension	Earth and Water	golf, water
208	itaque	and so, therefore	Conjunction	Conjunctions/Adverbs	daarom, dus
209	vultus -ūs m.	look, expression, face	Noun: 4th Declension	The Body	gelaat, gezicht, blik
210	cadō cadere cecidī cāsum	fall, be killed	Verb: 3rd Conjugation -ō	Violence	vallen, sneuvelen
211	nātus -ī m.	son	Noun: 2nd Declension	The Household	zoon
212	quis quid	who? what? which?	Pronoun	Pronouns/Interrogatives	wie? wat? welke?
213	trahō trahere trāxī trāctum	drag, draw	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	slepen, trekken
214	sanguis -inis m.	blood	Noun: 3rd Declension	The Body	bloed
215	metus -ūs m.	fear, dread	Noun: 4th Declension	Emotions	vrees, angst
216	tantum, tantummodo	only	Adverb	Measurement	alleen, slechts
217	cōnsilium -ī n.	plan; council, group of advisors	Noun: 2nd Declension	The City	plan, raad; raad (vergadering)
218	coniunx coniugis m./f.	spouse, husband, wife	Noun: 3rd Declension	The Household	echtgenoot, echtgenote
219	amō -āre	to love; amāns -ntis m./f.: lover	Verb: 1st Conjugation	Love	liefhebben, beminnen; amans: minnaar
220	levis -e	light, trivial	Adjective: 3rd Declension	Measurement	licht, onbelangrijk
221	duo duae duo	two	Adjective: Numeral	Measurement	twee
222	ferus -a -um	wild, fierce; fera -ae f.: wild animal	Adjective: 1st and 2nd Declension	Animals/Plants	wild, woest; fera: wild dier
223	poena -ae f.	penalty, punishment	Noun: 1st Declension	Justice	straf
224	castrum -ī n.	fortress, (regularly plural, castra camp)	Noun: 2nd Declension	War and Peace	fort; castra: legerkamp
225	frāter frātris m.	brother	Noun: 3rd Declension	The Household	broer
226	haud	not	Adverb	Conjunctions/Adverbs	niet
227	malus -a -um	bad, evil	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	slecht, kwaad
228	iaceō iacēre iacuī	lie	Verb: 2nd Conjugation	The House	liggen
229	līber lībera līberum	free; līberī (m. pl.): freeborn children	Adjective: 1st and 2nd Declension	Justice	vrij; liberi: kinderen
230	iter itineris n.	journey, route	Noun: 3rd Declension	Travel	reis, tocht, weg
231	ferrum -ī n.	iron, iron weapon or implement	Noun: 2nd Declension	Violence	ijzer, zwaard, wapen
232	spēs speī f.	hope	Noun: 5th Declension	Emotions	hoop
233	puella -ae f.	girl; girl-friend	Noun: 1st Declension	People	meisje; vriendin
234	silva -ae f.	forest, grove	Noun: 1st Declension	Animals/Plants	bos, woud
235	bene	well	Adverb	Personality Traits/Characteristics	goed
236	fīnis -is m.	end, boundary	Noun: 3rd Declension	Geography	einde, grens; fines: gebied
237	gerō gerere gessī gestum	bear, manage; bellum gerere, wage war	Verb: 3rd Conjugation -ō	War and Peace	dragen, voeren, beheren; bellum gerere: oorlog voeren
238	ne (enclitic)	interrogative particle attached to the emphatic word in a question	Adverb	Pronouns/Interrogatives	vraagpartikel (niet vertaald)
239	dux ducis m./f.	leader, general	Noun: 3rd Declension	War and Peace	leider, aanvoerder, generaal
240	premō premere pressī pressum	press, pursue, overwhelm	Verb: 3rd Conjugation -ō	War and Peace	drukken, achtervolgen, in het nauw brengen
241	dominus -ī m.; domina -ae f.	household master, lord; mistress	Noun: 2nd Declension	The Household	heer, meester; meesteres
242	mōns montis m.	mountain	Noun: 3rd Declension	Geography	berg
243	uterque utraque utrumque	each of two	Conjunction	Measurement	elk van beide, beide
244	saevus -a -um	fierce, raging, wrathful	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	woest, wreed, hevig
245	lītus -oris n.	shore	Noun: 3rd Declension	Geography	kust, strand
246	soleō -ēre -uī -itum	be accustomed	Verb: 2nd Conjugation	Personality Traits/Characteristics	gewoon zijn, plegen
247	mīlle (pl.) mīlia	thousand	Adjective: Numeral	Measurement	duizend
248	equus -ī m.	horse	Noun: 2nd Declension	Animals/Plants	paard
249	dūrus -a -um	hard, tough, harsh	Adjective: 1st and 2nd Declension	Other Senses	hard, streng, ruw
250	cōgō cōgere coēgī coāctum	drive together; compel	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	samendrijven; dwingen
251	numquam	never	Adverb	Time	nooit
252	prīmum	at first, firstly	Adverb	Time	eerst, ten eerste
253	morior morī mortuus sum	die	Verb: Deponent	Life and Being	sterven
254	carmen -inis n.	song	Noun: 3rd Declension	Writing/Poetry	lied, gedicht
255	tēlum -ī n.	missile, weapon, spear	Noun: 2nd Declension	War and Peace	werptuig, wapen, speer
256	ratiō -ōnis f.	method, plan, reason	Noun: 3rd Declension	Education/Knowledge	verstand, rede, methode, berekening
257	umbra -ae f.	shade, shadow	Noun: 1st Declension	Vision	schaduw, schim
258	ars artis f.	skill	Noun: 3rd Declension	Education/Knowledge	kunst, vaardigheid
259	tot	so many	Adverb	Measurement	zoveel
260	dexter -tra -trum	right; dextera -ae f.: right hand	Adjective: 1st and 2nd Declension	Place	rechts; dextera: rechterhand
261	sīgnum -ī n.	sign, standard, mark	Noun: 2nd Declension	War and Peace	teken, veldteken, kenmerk
262	laetus -a -um	glad, joyful	Adjective: 1st and 2nd Declension	Emotions	blij, vrolijk
263	quālis -e	of what kind? what?	Pronoun	Pronouns/Interrogatives	hoedanig? welk soort?; zoals
264	lēx lēgis f.	law	Noun: 3rd Declension	Justice	wet
265	perīculum -ī n.	danger	Noun: 2nd Declension	Violence	gevaar
266	nāscor nāscī nātus sum	be born	Verb: Deponent	Life and Being	geboren worden
267	exercitus -ūs m.	army	Noun: 4th Declension	War and Peace	leger
268	pereō -īre -iī -itum	perish, be lost	Verb: Irregular	Violence	omkomen, verloren gaan
269	ventus -ī m.	wind	Noun: 2nd Declension	Air and Fire	wind
270	audeō audēre ausus sum	dare, be eager	Verb: 2nd Conjugation	Personality Traits/Characteristics	durven, wagen
271	contrā	against, opposite (adv. and prep. +acc.)	Preposition	Place	tegen, tegenover (+ acc.); daarentegen
272	aqua -ae f.	water	Noun: 1st Declension	Earth and Water	water
273	rapiō rapere rapuī raptum	seize, tear away	Verb: 3rd Conjugation -iō	Violence	roven, wegrukken, grijpen
274	simul	at the same time	Adverb	Time	tegelijk
275	trīstis -e	sad, solemn, grim	Adjective: 3rd Declension	Emotions	droevig, somber, streng
276	mūnus mūneris n.	gift, offering; duty, obligation; (pl.) gladiatorial show	Noun: 3rd Declension	Social Life	geschenk; taak, plicht; munera: gladiatorenspelen
277	iuvenis -is m.	youth	Noun: 3rd Declension	People	jongeman
278	fāma -ae f.	rumor, fame	Noun: 1st Declension	Speech/Oratory	gerucht, faam, roem
279	adsum adesse affuī	be present	Verb: Irregular	Place	aanwezig zijn
280	quisquam quicquam/quidquam	any (single) person, anyone at all	Pronoun	Pronouns/Interrogatives	iemand, iets
280	vērō	in fact, certainly, without doubt	Adverb	Conjunctions/Adverbs	werkelijk, zeker; maar
281	pār paris	equal	Adjective: 3rd Declension	Measurement	gelijk
282	vester vestra vestrum	your	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	jullie
283	flūmen -inis n.	stream, river	Noun: 3rd Declension	Earth and Water	stroom, rivier
284	quīcumque quaecumque quodcumque	who-, whatever	Pronoun	Pronouns/Interrogatives	wie ook, wat ook, al wie
285	certus -a -um	sure, fixed	Adjective: 1st and 2nd Declension	Measurement	zeker, vast
286	fortis -e	brave	Adjective: 3rd Declension	Personality Traits/Characteristics	dapper, sterk
287	placeō placēre placuī placitum	please	Verb: 2nd Conjugation	Social Life	behagen, bevallen
288	vertō vertere vertī versum	turn	Verb: 3rd Conjugation -ō	Motion	draaien, keren, wenden
289	servō -āre	save, watch over	Verb: 1st Conjugation	The Household	redden, bewaren, beschermen
290	honor -ōris m.	honor, glory; office, post	Noun: 3rd Declension	The City	eer, aanzien; ambt
291	dīgnus -a -um	worthy	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	waardig
292	cūnctus -a -um	entire all together	Adjective: 1st and 2nd Declension	Measurement	geheel; allen samen
293	tollō tollere sustulī sublātum	raise up, destroy	Verb: Irregular	Violence	opheffen; wegnemen, vernietigen
294	negō -āre	deny, refuse	Verb: 1st Conjugation	Speech/Oratory	ontkennen, weigeren
295	vetus veteris	old	Adjective: 3rd Declension	Time	oud
296	eques equitis m.	horseman, knight	Noun: 3rd Declension	War and Peace	ruiter; ridder
297	trādō -dere -didī -ditum	hand over, yield	Verb: 3rd Conjugation -ō	Business/Money	overleveren, overhandigen
298	flamma -ae f.	flame, fire	Noun: 1st Declension	Air and Fire	vlam, vuur
299	lūx lūcis f.	light of day	Noun: 3rd Declension	Air and Fire	licht, daglicht
300	unde	from where	Adverb	Place	vanwaar, waarvandaan
301	redeō -īre -iī -itum	go back, return	Verb: Irregular	Motion	teruggaan, terugkeren
302	sentiō sentīre sēnsī sēnsum	perceive, feel, hear, see	Verb: 4th Conjugation	Other Senses	voelen, merken, waarnemen
303	aurum -ī n.	gold	Noun: 2nd Declension	Business/Money	goud
